month_date,hires,pct_of_baseline,usable
1977-07-01,99,0.5,TRUE
1977-08-01,49,0.2,TRUE
1977-09-01,163,0.8,TRUE
1977-10-01,77,0.4,TRUE
1977-11-01,53,0.3,TRUE
1977-12-01,40,0.2,TRUE
1978-01-01,678,3.2,TRUE
1978-02-01,67,0.3,TRUE
1978-03-01,119,0.6,TRUE
1978-04-01,88,0.4,TRUE
1978-05-01,78,0.4,TRUE
1978-06-01,101,0.5,TRUE
1978-07-01,79,0.4,TRUE
1978-08-01,79,0.4,TRUE
1978-09-01,183,0.9,TRUE
1978-10-01,111,0.5,TRUE
1978-11-01,73,0.3,TRUE
1978-12-01,36,0.2,TRUE
1979-01-01,748,3.5,TRUE
1979-02-01,76,0.4,TRUE
1979-03-01,111,0.5,TRUE
1979-04-01,99,0.5,TRUE
1979-05-01,77,0.4,TRUE
1979-06-01,112,0.5,TRUE
1979-07-01,65,0.3,TRUE
1979-08-01,66,0.3,TRUE
1979-09-01,218,1,TRUE
1979-10-01,110,0.5,TRUE
1979-11-01,89,0.4,TRUE
1979-12-01,71,0.3,TRUE
1980-01-01,1594,7.6,TRUE
1980-02-01,131,0.6,TRUE
1980-03-01,157,0.7,TRUE
1980-04-01,136,0.6,TRUE
1980-05-01,152,0.7,TRUE
1980-06-01,176,0.8,TRUE
1980-07-01,98,0.5,TRUE
1980-08-01,132,0.6,TRUE
1980-09-01,281,1.3,TRUE
1980-10-01,171,0.8,TRUE
1980-11-01,84,0.4,TRUE
1980-12-01,99,0.5,TRUE
1981-01-01,1244,5.9,TRUE
1981-02-01,140,0.7,TRUE
1981-03-01,165,0.8,TRUE
1981-04-01,158,0.7,TRUE
1981-05-01,151,0.7,TRUE
1981-06-01,180,0.9,TRUE
1981-07-01,114,0.5,TRUE
1981-08-01,110,0.5,TRUE
1981-09-01,329,1.6,TRUE
1981-10-01,204,1,TRUE
1981-11-01,72,0.3,TRUE
1981-12-01,79,0.4,TRUE
1982-01-01,1285,6.1,TRUE
1982-02-01,181,0.9,TRUE
1982-03-01,185,0.9,TRUE
1982-04-01,133,0.6,TRUE
1982-05-01,150,0.7,TRUE
1982-06-01,165,0.8,TRUE
1982-07-01,114,0.5,TRUE
1982-08-01,128,0.6,TRUE
1982-09-01,371,1.8,TRUE
1982-10-01,212,1,TRUE
1982-11-01,86,0.4,TRUE
1982-12-01,76,0.4,TRUE
1983-01-01,1484,7,TRUE
1983-02-01,153,0.7,TRUE
1983-03-01,242,1.1,TRUE
1983-04-01,151,0.7,TRUE
1983-05-01,155,0.7,TRUE
1983-06-01,209,1,TRUE
1983-07-01,130,0.6,TRUE
1983-08-01,162,0.8,TRUE
1983-09-01,445,2.1,TRUE
1983-10-01,236,1.1,TRUE
1983-11-01,174,0.8,TRUE
1983-12-01,104,0.5,TRUE
1984-01-01,1599,7.6,TRUE
1984-02-01,210,1,TRUE
1984-03-01,252,1.2,TRUE
1984-04-01,235,1.1,TRUE
1984-05-01,196,0.9,TRUE
1984-06-01,283,1.3,TRUE
1984-07-01,169,0.8,TRUE
1984-08-01,172,0.8,TRUE
